corresponding_gene_call	D100_OUT	D11_OUT	D17_OUT	D26_OUT	D27_OUT	D2_OUT	D32_OUT	D34_OUT	D36_OUT	D40_OUT	D42_OUT	D60_OUT	D65_OUT	D71_OUT	D7_OUT	D85_OUT	D87_OUT	D88_OUT	D92_OUT
129053		0.013185682261509691	0.00890239268984587	0.010447799291305227		0.014387626934869443	0.002742447902148125	0.012589207221527678	0.013323867392923159					0.005023585271329786			0.011358799456604275		0.01450002994566986
129054			0.003501080585320347						0.00264911927994735								0.00845330114684367		0.012419274826936869
129055																			
129056		0.009768438638849053	0.005746010620156897	0.005252038348956572		0.00626414712666682		0.0040817929891723585	0.007135147979599449								0.012305031444575005		0.012856606020226414
129057		0.019699908739762934		0.0029306985702246056					0.010865786905424786								0.0038701819742056522		0.028475215665255967
129058		0.027447435695868407				0.007424291723620458			0.007266008648511336								0.02234346720229626		0.02348688452315313
129059		0.015732290473110488	0.004867425969769012	0.0034777811598404296		0.004970510759187162	0.004515876093256458		0.0096654756154375								0.009673451269493632		0.01939977837530397
129060		0.012995136953360435	0.008933467392568067			0.008515257561910754			0.011095059773940232								0.01020815371008178		0.020492296178413312
129061																	0.0048486579802096514		
129062		0.007893631524861193															0.02007948927265106		
129063		0.01347742030710895	0.002214202970837571	0.005862561238280581		0.013859806463645919			0.004584249056703864								0.011510712496256516		0.0020875611737807644
129064		0.012289028917543717	0.004952679303649355	0.011169739221055715		0.007356593713474806		0.0050548415728934116	0.005580865009237822								0.009621087515019198		0.0061778656951676746
129065		0.016150709717130406	0.023029251256828028	0.019576159438127377		0.007937753456561841		0.023974516324932894	0.01945568311482863										0.014817909436906931
250475																			
250476	0.0003419228282257341	0.010417767967407432	0.006504914297246285	0.010243142477346857	0.0005929210105874498	0.005075885959525434	0.004594180704441003	0.0026388525753557467	0.010646168353884693	0.00041571627640091783					0.0003212833484206031	1.0803933775167487e-05	0.009471124831296515	0.00019659758372258228	0.006218060550812301
250477		0.020148086644536562							0.014783193560527295								0.011623978534620426		
250478		0.01467483566222399	0.010096046136327263	0.009389042850353553		0.007130543424556179			0.01641547408176245								0.009546970814959373		0.011874407008672561
250479		0.012199219906227313	0.005669845816609413	0.015202537444849803					0.0193389703948856										
250480		0.01390976335883241							0.014901203177570361								0.004226329512152481		
250481		0.004923572429043159		0.0024211761522860255		0.006670818188636416	0.01017042957817219		0.013568907723256075								0.0015470120515232884		0.0071038277500041
250482																			
250483																			
