corresponding_gene_call	D100_OUT	D11_OUT	D17_OUT	D26_OUT	D27_OUT	D2_OUT	D32_OUT	D34_OUT	D36_OUT	D40_OUT	D42_OUT	D60_OUT	D65_OUT	D71_OUT	D7_OUT	D85_OUT	D87_OUT	D88_OUT	D92_OUT
52008		0.0404456821222862							0.32395154810517635								0.4505146194276981		
52009		0.09963045950732606	0.10740489418440723			0.11082592841943685			0.07621862478425202								0.09128048665647086		0.06647293348019423
52010		0.19092373956201666	0.43732808921143795	0.16927194159525574		0.15008875935958405			0.08662499359604917								0.35149335521671365		0.18958330486288485
52011																			
52012		0.08400734758294023	0.037008270908662544	0.3364748465547049		0.19409372725033544		0.3305448394857	0.1910790567144626								0.027514310960721454		0.28166221978600137
52013		0.14504668014779082	0.07233636032584771	0.06320040263791107		0.09963592014443659		0.0708283479552332	0.17221366116001185								0.34621770250872164		0.1904249342997929
52014		0.038484964024840265	0.12183842755163485	0.0888861481479574		0.06264138072332878			0.049047189387061735								0.0831273381973545		0.08556520362992276
52015		0.0647170933137496		0.4719684626301183					0.054568599054008765						1.8188232486342055				
52016		0.08799778407225001	0.19439247684181254	0.19651167338103118		0.08699115499613133		0.2068560251043648	0.168368819723813								0.04396212049060199		0.059552898751427746
52017		0.02728753318400619	0.03484485709307571	0.07342731054832688		0.023648789895324845	0.005906600114230605	0.08624186757952344	0.0432407492314131								0.04651317491348197		0.04827631051501824
52018		0.19062641953162227		0.0852798053134006		0.31177319050659824			0.1630960580378795								0.07015140020356513		0.21779974927852386
52019		0.24821213923982513																	
52020		0.13513031222167426							0.04953814877863706										
71429																			
71430		0.09874621241766994	0.026050197563023115	0.058815098515293485		0.09024094498087078		0.0035217305363299148	0.09220987898185752			0.1675429707664906					0.18295139339526276		0.2034352938093714
71431		0.026832432518733185				0.08438325406078025			0.021563102817261762										0.0029154144089647725
71432		0.11217810867297386	0.2846964632208851	0.22092775458860447		0.1639435050094272			0.11622025271903613								0.026907993828989812		
71433		0.06526412294003398	0.07826067337730842			0.04451358608962543			0.16788479881057494								0.19762205880748482		0.22891288628431586
71434		0.4196376761538848				0.48302248531074166			0.38016019110094945								0.0982595478996115		
71435		0.16823474059202864				0.14220423504046067			0.1255136665425349										
71436						0.07278223521988772			0.5241167951673233								0.19949349512718098		
71437		0.30682946242553516		0.17465449991847548		0.1656719111662265			0.30322244643577406								0.06475649006919271		0.32826782114979375
71438		0.036977970639953284																	
74891		0.6518005675848247				0.48221133299010527			0.14159991788826243										
74892		0.015553142222919706	0.05116282674182925	0.07894438414624919		0.20254082482463182			0.03139621782998691										0.08714462970843832
74893		0.056209102006994506		0.18343239329223393		0.15653848712543542			0.10811108482186708								0.2019422964743167		0.0359574406153224
74894				0.29430888390697985		0.25831747877403105			0.14729722380762514								0.14368353708362597		
74895									0.011474310093889772										
74896									0.16611435696486562										
74897									0.07980415793741928								0.14482173484543417		
74898		0.2730627776655244	0.47562515533652083			0.11111210329955637			0.24848961805648243								0.25984881184352365		0.1039861092585391
74899		0.08179113130861337		0.1123827629689576		0.07385647882991202			0.07428761523564685								0.4496247656898739		0.0332970407531967
74900	0.595678130021439	5.756047678021132	1.0312095567911959	0.9326610989796172	0.573300735020188	0.7804326590028839				0.5582806585066308					0.6039216220616855				1.8127582355879053
87484																			
87485	0.35311796552652036	0.1394285252747948	0.16589302252854402	0.09793746968942549	0.3176501679379727	0.12496602639514856	0.09603254333758712	0.08129203773408795	0.1109969093808539	0.27777157359447946	0.4612627387207997	0.7758202104967038		0.20675587688734529	0.3251474522291334	0.311626631433697	0.18100169044669204	0.29869604511709885	0.1704489212278481
113732		0.06050695059653441		0.09308325364535767		0.23139596777948357	0.022507245237103818		0.11746679576512295								0.17003532351756914		0.07334985277808236
113733									0.0936589864287805								0.009074807004896684		
113734		0.0631566061917732				0.051257263489395924	0.0012501580971417355		0.05762401355364713								0.2412124078111398		0.06705403971598446
113735		0.5032111791869419				0.6124629118370934			0.3969825145730631										
113736									0.13577969301881626								0.02194329006559214		
113738																			
113739																			
113740																			
113741		0.0031400389989987097	0.00751438488994624			0.01741497666618763			0.040953282101105506										0.0025735596147761653
113742									0.13583265254787022										
129051		0.23516433677814796	0.25565054649500235	0.121311593625979		0.6656767852008304			0.36993149242606893								0.14337948323345942		0.2066278810250202
129052		0.5499769621569722		0.404932563721359		0.8085917677999309	0.06615457254496533		0.6265195908505108								0.22169067287884217		0.8265562774925849
129053		0.10425155790315546	0.023924869593544774	0.03535319513732971		0.04025740498891563	0.004736846908088979	0.03141421680191678	0.05676283598738086					0.045976858890024036			0.1228598334564358		0.16986615481089443
129054			0.04350965396757905						0.1792901867930649								0.2122695569798526		0.14165595306039508
129055																			
129056		0.5102975530119858	0.049382845442951885	0.14512303242466335		0.24676897588164023		0.06604096752521438	0.3371318944065281								0.11135267405028285		0.2523609102154324
129057		0.04138061582009664		0.15029479515042982					0.018386824237686374								0.4616164346074578		0.05876423750537126
129058		0.11707377752077432				0.10794056044309487			0.17865482143277675								0.13394589194651121		0.0902159536987791
129059		0.08843384089364478	0.02661464427220998	0.18777009634691752		0.042118963305698635	0.04443221524773906		0.04895453452582562								0.27596045208257686		0.08767032555103985
